"Common name","Scientific name","Order","Family","Resident status"
"American Tree Sparrow","Spizelloides arborea","Passeriformes","Passerellidae (New World Sparrows)","Non-resident"
"Baltimore Oriole","Icterus galbula","Passeriformes","Icteridae (Troupials and Allies)","Non-resident"
"Barrow's Goldeneye","Bucephala islandica","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Black-capped Chickadee","Poecile atricapillus","Passeriformes","Paridae (Tits, Chickadees, and Titmice)","Resident"
"Black-headed Gull","Chroicocephalus ridibundus","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Non-resident"
"Blue Jay","Cyanocitta cristata","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Resident"
"Boreal Chickadee","Poecile hudsonicus","Passeriformes","Paridae (Tits, Chickadees, and Titmice)","Non-resident"
"Brown Thrasher","Toxostoma rufum","Passeriformes","Mimidae (Mockingbirds and Thrashers)","Non-resident"
"Brown-headed Cowbird","Molothrus ater","Passeriformes","Icteridae (Troupials and Allies)","Non-resident"
"Common Eider","Somateria mollissima","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Resident"
"Common Goldeneye","Bucephala clangula","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Common Grackle","Quiscalus quiscula","Passeriformes","Icteridae (Troupials and Allies)","Resident"
"Common Raven","Corvus corax","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Resident"
"Dickcissel","Spiza americana","Passeriformes","Cardinalidae (Cardinals and Allies)","Non-resident"
"Dovekie","Alle alle","Charadriiformes","Alcidae (Auks, Murres, and Puffins)","Non-resident"
"Downy Woodpecker","Dryobates pubescens","Piciformes","Picidae (Woodpeckers)","Resident"
"Eastern Towhee","Pipilo erythrophthalmus","Passeriformes","Passerellidae (New World Sparrows)","Non-resident"
"European Starling","Sturnus vulgaris","Passeriformes","Sturnidae (Starlings)","Resident"
"Evening Grosbeak","Coccothraustes vespertinus","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Non-resident"
"Field Sparrow","Spizella pusilla","Passeriformes","Passerellidae (New World Sparrows)","Non-resident"
"Fox Sparrow","Passerella iliaca","Passeriformes","Passerellidae (New World Sparrows)","Non-resident"
"Canada Jay","Perisoreus canadensis","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Non-resident"
"Great Black-backed Gull","Larus marinus","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Resident"
"Great Cormorant","Phalacrocorax carbo","Suliformes","Phalacrocoracidae (Cormorants and Shags)","Non-resident"
"Greater Scaup","Aythya marila","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Hairy Woodpecker","Dryobates villosus","Piciformes","Picidae (Woodpeckers)","Resident"
"Horned Grebe","Podiceps auritus","Podicipediformes","Podicipedidae (Grebes)","Non-resident"
"Horned Lark","Eremophila alpestris","Passeriformes","Alaudidae (Larks)","Non-resident"
"House Sparrow","Passer domesticus","Passeriformes","Passeridae (Old World Sparrows)","Resident"
"Killdeer","Charadrius vociferus","Charadriiformes","Charadriidae (Plovers and Lapwings)","Non-resident"
"King Eider","Somateria spectabilis","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Long-tailed Duck","Clangula hyemalis","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Mourning Dove","Zenaida macroura","Columbiformes","Columbidae (Pigeons and Doves)","Resident"
"Northern Mockingbird","Mimus polyglottos","Passeriformes","Mimidae (Mockingbirds and Thrashers)","Resident"
"Pied-billed Grebe","Podilymbus podiceps","Podicipediformes","Podicipedidae (Grebes)","Non-resident"
"Purple Sandpiper","Calidris maritima","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Non-resident"
"Red-winged Blackbird","Agelaius phoeniceus","Passeriformes","Icteridae (Troupials and Allies)","Resident"
"Ring-necked Pheasant","Phasianus colchicus","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Non-resident"
"Ruffed Grouse","Bonasa umbellus","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Resident"
"Rusty Blackbird","Euphagus carolinus","Passeriformes","Icteridae (Troupials and Allies)","Non-resident"
"White-crowned Sparrow","Zonotrichia leucophrys","Passeriformes","Passerellidae (New World Sparrows)","Non-resident"
"White-winged Scoter","Melanitta deglandi","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"American Crow","Corvus brachyrhynchos","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Resident"
"American Goldfinch","Spinus tristis","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Resident"
"American Wigeon","Mareca americana","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Bald Eagle","Haliaeetus leucocephalus","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Resident"
"Barred Owl","Strix varia","Strigiformes","Strigidae (Owls)","Resident"
"Black Guillemot","Cepphus grylle","Charadriiformes","Alcidae (Auks, Murres, and Puffins)","Resident"
"Bufflehead","Bucephala albeola","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Cedar Waxwing","Bombycilla cedrorum","Passeriformes","Bombycillidae (Waxwings)","Resident"
"Common Loon","Gavia immer","Gaviiformes","Gaviidae (Loons)","Resident"
"Cooper's Hawk","Accipiter cooperii","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Resident"
"Double-crested Cormorant","Nannopterum auritum","Suliformes","Phalacrocoracidae (Cormorants and Shags)","Non-resident"
"Golden-crowned Kinglet","Regulus satrapa","Passeriformes","Regulidae (Kinglets)","Resident"
"Harlequin Duck","Histrionicus histrionicus","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Hooded Merganser","Lophodytes cucullatus","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Resident"
"House Finch","Haemorhous mexicanus","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Resident"
"Mallard","Anas platyrhynchos","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Resident"
"Northern Cardinal","Cardinalis cardinalis","Passeriformes","Cardinalidae (Cardinals and Allies)","Resident"
"Northern Flicker","Colaptes auratus","Piciformes","Picidae (Woodpeckers)","Resident"
"Northern Gannet","Morus bassanus","Suliformes","Sulidae (Boobies and Gannets)","Non-resident"
"Northern Harrier","Circus hudsonius","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Resident"
"Peregrine Falcon","Falco peregrinus","Falconiformes","Falconidae (Falcons and Caracaras)","Resident"
"Pileated Woodpecker","Dryocopus pileatus","Piciformes","Picidae (Woodpeckers)","Resident"
"Purple Finch","Haemorhous purpureus","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Resident"
"Razorbill","Alca torda","Charadriiformes","Alcidae (Auks, Murres, and Puffins)","Non-resident"
"Red-bellied Woodpecker","Melanerpes carolinus","Piciformes","Picidae (Woodpeckers)","Non-resident"
"Red-breasted Merganser","Mergus serrator","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Red-necked Grebe","Podiceps grisegena","Podicipediformes","Podicipedidae (Grebes)","Non-resident"
"Red-throated Loon","Gavia stellata","Gaviiformes","Gaviidae (Loons)","Non-resident"
"Ring-billed Gull","Larus delawarensis","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Non-resident"
"Rock Pigeon","Columba livia","Columbiformes","Columbidae (Pigeons and Doves)","Resident"
"Surf Scoter","Melanitta perspicillata","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Tufted Titmouse","Baeolophus bicolor","Passeriformes","Paridae (Tits, Chickadees, and Titmice)","Resident"
"Wild Turkey","Meleagris gallopavo","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Resident"
"American Black Duck","Anas rubripes","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Resident"
"American Kestrel","Falco sparverius","Falconiformes","Falconidae (Falcons and Caracaras)","Non-resident"
"American Robin","Turdus migratorius","Passeriformes","Turdidae (Thrushes and Allies)","Resident"
"Belted Kingfisher","Megaceryle alcyon","Coraciiformes","Alcedinidae (Kingfishers)","Resident"
"Black Scoter","Melanitta americana","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Black-backed Woodpecker","Picoides arcticus","Piciformes","Picidae (Woodpeckers)","Non-resident"
"Black-legged Kittiwake","Rissa tridactyla","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Non-resident"
