"species","count.est","count.p","cph.est","cph.p","change"
"Common Yellowthroat",NA,NA,NA,NA,"not enough data"
"Dunlin",NA,NA,NA,NA,"not enough data"
"Eastern Bluebird",NA,NA,NA,NA,"not enough data"
"Eastern Meadowlark",NA,NA,NA,NA,"not enough data"
"Eastern Phoebe",NA,NA,NA,NA,"not enough data"
"Eurasian Wigeon",NA,NA,NA,NA,"not enough data"
"Gadwall",NA,NA,NA,NA,"not enough data"
"Green-tailed Towhee",NA,NA,NA,NA,"not enough data"
"Lapland Longspur",NA,NA,NA,NA,"not enough data"
"Lesser Black-backed Gull",NA,NA,NA,NA,"not enough data"
"Merlin",NA,NA,NA,NA,"not enough data"
"Northern Bobwhite",NA,NA,NA,NA,"not enough data"
"Northern Hawk Owl",NA,NA,NA,NA,"not enough data"
"Northern Saw-whet Owl",NA,NA,NA,NA,"not enough data"
"Orange-crowned Warbler",NA,NA,NA,NA,"not enough data"
"Palm Warbler",NA,NA,NA,NA,"not enough data"
"Red-shouldered Hawk",NA,NA,NA,NA,"not enough data"
"Redhead",NA,NA,NA,NA,"not enough data"
"Ring-necked duck",NA,NA,NA,NA,"not enough data"
"Sanderling",NA,NA,NA,NA,"not enough data"
"Short-eared Owl",NA,NA,NA,NA,"not enough data"
"Snow Goose",NA,NA,NA,NA,"not enough data"
"Townsend's Solitaire",NA,NA,NA,NA,"not enough data"
"Varied Thrush",NA,NA,NA,NA,"not enough data"
"Vesper Sparrow",NA,NA,NA,NA,"not enough data"
"Yellow-bellied Sapsucker",NA,NA,NA,NA,"not enough data"
"Yellow-breasted Chat",NA,NA,NA,NA,"not enough data"
